dom ; request ; size ; historical ; collinearity
1515.0 ; 324.0 ; 4366.9990234375 ; 11.10 ; 66.96
3262.0 ; 107.0 ; 1642.654296875 ; 21.41 ; 59.65
2721.0 ; 510.0 ; 4482.6796875 ; 6.34 ; 61.43
50.0 ; 14.0 ; 10475.7939453125 ; 78.18 ; 74.47
3055.0 ; 66.0 ; 3227.8310546875 ; 25.39 ; 47.60
3154.0 ; 73.0 ; 3347.6240234375 ; 23.62 ; 47.90
2889.0 ; 63.0 ; 3091.44140625 ; 26.32 ; 43.95
1925.0 ; 41.0 ; 1024.654296875 ; 40.14 ; 55.41
1527.0 ; 323.0 ; 4203.091796875 ; 11.12 ; 66.96
46.0 ; 2.0 ; 148.087890625 ; 94.20 ; 63.56
687.0 ; 134.0 ; 1962.55078125 ; 36.43 ; 64.79
47.0 ; 18.0 ; 59.3349609375 ; 92.50 ; 45.09
2883.0 ; 63.0 ; 3141.7265625 ; 26.24 ; 41.93
2918.0 ; 10.0 ; 448.427734375 ; 46.64 ; 65.98
122.0 ; 21.0 ; 2289.65234375 ; 78.06 ; 79.65
993.0 ; 113.0 ; 573.982421875 ; 37.51 ; 55.80
47.0 ; 18.0 ; 59.3349609375 ; 92.50 ; 45.09
2890.0 ; 63.0 ; 3091.63671875 ; 26.32 ; 43.95
639.0 ; 272.0 ; 994.134765625 ; 36.14 ; 40.30
2536.0 ; 242.0 ; 22037.3515625 ; 5.80 ; 70.81
947.0 ; 17.0 ; 646.1201171875 ; 57.14 ; 60.49
1954.0 ; 373.0 ; 3016.044921875 ; 9.99 ; 54.67
113.0 ; 3.0 ; 127.4462890625 ; 90.51 ; 40.69
813.0 ; 27.0 ; 495.5810546875 ; 59.54 ; 56.05
96.0 ; 13.0 ; 56.2099609375 ; 90.15 ; 61.53
1524.0 ; 324.0 ; 4440.857421875 ; 10.98 ; 64.79
1064.0 ; 35.0 ; 944.5693359375 ; 50.00 ; 47.36
2366.0 ; 146.0 ; 5636.0361328125 ; 11.27 ; 56.15
5931.0 ; 403.0 ; 444.37890625 ; 17.61 ; 71.46
157.0 ; 65.0 ; 2520.888671875 ; 66.97 ; 79.65
63.0 ; 15.0 ; 5743.06640625 ; 77.63 ; 74.47
1076.0 ; 206.0 ; 1980.6708984375 ; 22.15 ; 59.51
671.0 ; 148.0 ; 9643.5390625 ; 30.03 ; 77.38
1849.0 ; 327.0 ; 2348.6748046875 ; 11.77 ; 46.32
