dom ; request ; size ; historical ; distance
71 ; 14 ; 543.09 ; 88.47 ; 98.83
395 ; 8 ; 115.02 ; 79.50 ; 99.34
538 ; 84 ; 303.16 ; 57.12 ; 98.49
358 ; 27 ; 1781.05 ; 69.98 ; 87.14
319 ; 3 ; 129.26 ; 83.25 ; 99.54
576 ; 108 ; 4202.58 ; 39.74 ; 29.86
661 ; 55 ; 1234.71 ; 54.19 ; 92.35
604 ; 58 ; 1919.80 ; 52.69 ; 84.21
192 ; 47 ; 36.14 ; 80.83 ; 99.84
566 ; 23 ; 2172.75 ; 60.82 ; 80.36
96 ; 13 ; 56.20 ; 90.15 ; 99.95
424 ; 22 ; 1256.52 ; 70.25 ; 93.15
233 ; 40 ; 547.76 ; 78.38 ; 98.61
469 ; 79 ; 2402.92 ; 51.92 ; 76.63
822 ; 105 ; 724.88 ; 41.74 ; 95.28
418 ; 18 ; 294.12 ; 76.25 ; 98.98
719 ; 179 ; 4002.09 ; 28.32 ; 35.47
1013 ; 58 ; 521.75 ; 48.04 ; 94.93
892 ; 34 ; 289.70 ; 57.32 ; 96.57
298 ; 6 ; 26.32 ; 84.34 ; 99.65
689 ; 57 ; 2167.71 ; 49.22 ; 79.83
81 ; 3 ; 16.08 ; 92.11 ; 99.97
346 ; 73 ; 1965.21 ; 59.60 ; 84.47
653 ; 112 ; 783.38 ; 45.60 ; 95.90
672 ; 34 ; 422.84 ; 62.87 ; 97.54
350 ; 46 ; 1637.56 ; 66.93 ; 89.07
545 ; 48 ; 160.75 ; 65.70 ; 98.73
315 ; 16 ; 1565.62 ; 74.47 ; 90.06
442 ; 61 ; 1588.59 ; 59.67 ; 89.39
527 ; 65 ; 901.89 ; 58.47 ; 95.73
668 ; 51 ; 431.88 ; 59.15 ; 97.53
157 ; 12 ; 425.93 ; 86.56 ; 99.20
742 ; 58 ; 571.17 ; 54.37 ; 96.57
895 ; 105 ; 1854.07 ; 34.69 ; 83.45
174 ; 5 ; 12.78 ; 89.05 ; 99.88
65 ; 8 ; 182.83 ; 91.61 ; 99.85
614 ; 21 ; 1726.29 ; 60.83 ; 86.92
949 ; 17 ; 668.21 ; 56.97 ; 94.75
316 ; 48 ; 596.98 ; 73.02 ; 98.21
735 ; 22 ; 1295.94 ; 58.44 ; 91.35
792 ; 53 ; 387.71 ; 55.11 ; 96.96
66 ; 6 ; 29.21 ; 92.63 ; 99.98
550 ; 28 ; 382.31 ; 68.63 ; 98.25
73 ; 4 ; 129.93 ; 91.68 ; 99.91
371 ; 50 ; 2035.23 ; 63.71 ; 83.32
776 ; 194 ; 2178.69 ; 28.96 ; 79.02
870 ; 133 ; 2616.17 ; 29.59 ; 70.32
792 ; 116 ; 1634.10 ; 36.62 ; 87.10
687 ; 145 ; 4444.82 ; 31.26 ; 21.12
77 ; 15 ; 357.31 ; 88.91 ; 99.48
450 ; 50 ; 410.73 ; 67.89 ; 98.54
807 ; 106 ; 772.03 ; 41.76 ; 95.10
683 ; 158 ; 2498.75 ; 33.02 ; 73.76
1051 ; 62 ; 960.59 ; 43.95 ; 92.09
310 ; 4 ; 694.94 ; 80.57 ; 97.74
398 ; 60 ; 963.71 ; 64.72 ; 95.75
748 ; 60 ; 541.05 ; 53.87 ; 96.67
792 ; 116 ; 1647.31 ; 36.56 ; 86.93
85 ; 23 ; 281.45 ; 87.72 ; 99.66
523 ; 23 ; 1071.19 ; 66.88 ; 94.46
513 ; 59 ; 153.07 ; 64.40 ; 98.87
260 ; 21 ; 98.28 ; 83.23 ; 99.70
