dom ; request ; size ; historical ; distance
246 ; 81 ; 1160.64 ; 65.24 ; 94.49
342 ; 57 ; 1659.78 ; 64.56 ; 88.80
560 ; 124 ; 2406.00 ; 40.88 ; 76.17
181 ; 25 ; 1341.08 ; 78.91 ; 92.86
1373 ; 140 ; 2869.86 ; 19.98 ; 60.50
292 ; 37 ; 2479.98 ; 68.74 ; 75.71
659 ; 161 ; 2646.54 ; 33.30 ; 70.92
351 ; 38 ; 2168.76 ; 66.89 ; 81.19
432 ; 148 ; 1538.56 ; 46.42 ; 89.97
512 ; 32 ; 1411.06 ; 64.07 ; 91.22
106 ; 6 ; 69.01 ; 90.67 ; 99.94
136 ; 5 ; 14.68 ; 90.23 ; 99.93
485 ; 26 ; 1464.50 ; 66.05 ; 90.73
184 ; 44 ; 795.29 ; 77.78 ; 97.40
455 ; 84 ; 2584.68 ; 51.06 ; 73.14
138 ; 3 ; 21.49 ; 90.38 ; 99.92
268 ; 7 ; 106.11 ; 84.90 ; 99.68
268 ; 21 ; 464.95 ; 81.07 ; 98.88
191 ; 7 ; 492.56 ; 85.71 ; 98.91
315 ; 69 ; 2596.73 ; 60.09 ; 73.33
579 ; 6 ; 208.13 ; 71.76 ; 98.53
363 ; 54 ; 1446.13 ; 65.27 ; 91.33
676 ; 143 ; 3299.38 ; 32.99 ; 55.74
233 ; 20 ; 592.80 ; 81.89 ; 98.42
539 ; 12 ; 305.20 ; 72.04 ; 98.50
244 ; 72 ; 1309.54 ; 66.46 ; 93.07
407 ; 35 ; 76.59 ; 74.78 ; 99.33
101 ; 6 ; 229.01 ; 89.98 ; 99.76
96 ; 9 ; 83.95 ; 90.50 ; 99.94
174 ; 41 ; 492.68 ; 80.47 ; 98.93
541 ; 88 ; 636.84 ; 54.46 ; 97.25
487 ; 26 ; 550.92 ; 70.65 ; 97.89
163 ; 22 ; 1342.81 ; 80.02 ; 92.87
1059 ; 160 ; 2750.88 ; 22.97 ; 66.05
827 ; 174 ; 3175.18 ; 26.44 ; 57.95
76 ; 14 ; 260.17 ; 89.55 ; 99.71
410 ; 9 ; 1073.03 ; 73.70 ; 94.86
995 ; 151 ; 3467.45 ; 23.73 ; 49.22
263 ; 9 ; 540.76 ; 82.62 ; 98.59
82 ; 2 ; 54.64 ; 91.99 ; 99.96
165 ; 9 ; 58.21 ; 88.57 ; 99.88
421 ; 21 ; 966.53 ; 72.02 ; 95.67
661 ; 25 ; 160.91 ; 66.22 ; 98.19
228 ; 12 ; 61.44 ; 86.04 ; 99.78
905 ; 98 ; 743.15 ; 40.76 ; 94.62
180 ; 4 ; 102.71 ; 88.45 ; 99.83
57 ; 4 ; 223.96 ; 92.64 ; 99.79
379 ; 101 ; 556.23 ; 59.36 ; 98.20
121 ; 6 ; 81.82 ; 90.16 ; 99.92
732 ; 120 ; 2007.24 ; 36.54 ; 82.16
146 ; 21 ; 656.03 ; 84.25 ; 98.24
48 ; 8 ; 557.31 ; 91.22 ; 98.78
508 ; 113 ; 3038.06 ; 43.14 ; 62.99
542 ; 23 ; 712.14 ; 68.04 ; 96.88
650 ; 138 ; 2572.03 ; 35.67 ; 72.51
442 ; 57 ; 1976.47 ; 59.22 ; 84.01
379 ; 44 ; 1615.29 ; 66.27 ; 89.27
472 ; 128 ; 2239.37 ; 44.34 ; 79.53
369 ; 95 ; 1781.67 ; 54.88 ; 87.07
779 ; 126 ; 1788.29 ; 35.11 ; 85.12
618 ; 47 ; 2837.60 ; 52.51 ; 67.14
607 ; 37 ; 609.72 ; 63.53 ; 97.11
612 ; 157 ; 3078.15 ; 34.46 ; 61.54
1322 ; 117 ; 2908.14 ; 23.14 ; 60.19
845 ; 142 ; 4205.84 ; 27.08 ; 28.23
998 ; 59 ; 1124.89 ; 44.86 ; 91.18
1212 ; 45 ; 1056.15 ; 44.89 ; 89.92
1042 ; 179 ; 1197.43 ; 27.25 ; 90.06
263 ; 62 ; 882.40 ; 70.22 ; 96.68
705 ; 41 ; 2548.39 ; 51.56 ; 72.76
258 ; 26 ; 535.87 ; 80.22 ; 98.62
460 ; 1 ; 1078.54 ; 73.28 ; 94.64
67 ; 9 ; 462.80 ; 89.91 ; 99.15
526 ; 45 ; 2811.43 ; 56.52 ; 68.12
833 ; 174 ; 3027.35 ; 26.50 ; 61.48
666 ; 91 ; 1422.25 ; 45.31 ; 90.36
71 ; 20 ; 130.25 ; 89.61 ; 99.91
218 ; 43 ; 2085.34 ; 71.28 ; 82.87
810 ; 138 ; 1936.29 ; 32.44 ; 82.77
97 ; 11 ; 412.79 ; 88.54 ; 99.30
654 ; 18 ; 620.66 ; 65.27 ; 96.83
502 ; 17 ; 1835.79 ; 65.42 ; 85.89
117 ; 5 ; 38.06 ; 90.65 ; 99.94
917 ; 14 ; 1078.66 ; 55.99 ; 92.19
324 ; 21 ; 767.58 ; 77.17 ; 97.29
677 ; 114 ; 2059.14 ; 38.92 ; 81.65
706 ; 137 ; 1814.21 ; 36.03 ; 85.16
648 ; 15 ; 87.70 ; 68.75 ; 98.33
114 ; 17 ; 106.10 ; 88.73 ; 99.90
376 ; 13 ; 1469.75 ; 72.74 ; 91.03
1237 ; 97 ; 3104.93 ; 26.80 ; 56.45
103 ; 8 ; 252.24 ; 89.55 ; 99.71
115 ; 3 ; 110.08 ; 90.55 ; 99.90
343 ; 32 ; 1255.71 ; 71.88 ; 93.40
254 ; 6 ; 72.88 ; 85.77 ; 99.73
419 ; 33 ; 2559.93 ; 64.07 ; 73.78
136 ; 3 ; 100.60 ; 89.98 ; 99.89
584 ; 86 ; 2135.59 ; 46.58 ; 80.88
1004 ; 141 ; 3629.83 ; 24.25 ; 44.67
225 ; 33 ; 533.32 ; 80.16 ; 98.69
90 ; 16 ; 133.94 ; 89.45 ; 99.90
354 ; 87 ; 1241.53 ; 59.27 ; 93.48
287 ; 9 ; 452.89 ; 82.17 ; 98.88
708 ; 146 ; 3633.85 ; 31.27 ; 46.53
131 ; 23 ; 1265.69 ; 81.17 ; 93.69
348 ; 76 ; 1226.32 ; 61.86 ; 93.65
56 ; 6 ; 201.83 ; 92.58 ; 99.83
669 ; 130 ; 3926.19 ; 33.76 ; 38.14
446 ; 9 ; 162.52 ; 76.96 ; 99.12
92 ; 20 ; 762.73 ; 85.45 ; 97.70
221 ; 24 ; 266.08 ; 83.33 ; 99.53
162 ; 15 ; 463.17 ; 85.82 ; 99.06
96 ; 8 ; 156.79 ; 90.22 ; 99.87
347 ; 29 ; 2020.97 ; 69.27 ; 83.62
263 ; 33 ; 1444.29 ; 74.05 ; 91.60
551 ; 89 ; 3534.04 ; 44.60 ; 50.14
232 ; 17 ; 119.90 ; 84.85 ; 99.73
747 ; 131 ; 2306.15 ; 33.84 ; 77.04
721 ; 166 ; 3452.94 ; 29.58 ; 51.42
79 ; 7 ; 250.03 ; 90.40 ; 99.73
257 ; 15 ; 101.37 ; 84.33 ; 99.70
70 ; 6 ; 200.50 ; 91.34 ; 99.82
273 ; 14 ; 433.89 ; 82.17 ; 98.98
212 ; 40 ; 135.21 ; 81.18 ; 99.75
614 ; 147 ; 3350.40 ; 34.69 ; 54.72
387 ; 60 ; 1065.20 ; 64.66 ; 94.98
753 ; 180 ; 3984.90 ; 27.21 ; 35.81
765 ; 165 ; 1779.30 ; 32.05 ; 85.28
587 ; 152 ; 2315.52 ; 37.30 ; 77.68
396 ; 94 ; 628.13 ; 59.43 ; 97.82
125 ; 30 ; 633.23 ; 83.41 ; 98.37
138 ; 3 ; 101.04 ; 89.92 ; 99.89
877 ; 124 ; 2843.28 ; 30.02 ; 65.45
826 ; 95 ; 2669.14 ; 35.88 ; 69.56
711 ; 16 ; 2628.07 ; 55.82 ; 71.13
1145 ; 32 ; 1019.55 ; 48.88 ; 90.84
1450 ; 149 ; 1597.75 ; 21.84 ; 81.78
859 ; 24 ; 165.67 ; 60.53 ; 97.02
396 ; 72 ; 432.73 ; 64.89 ; 98.64
58 ; 4 ; 103.88 ; 93.17 ; 99.94
206 ; 19 ; 590.40 ; 82.97 ; 98.48
452 ; 74 ; 3343.60 ; 51.94 ; 55.63
285 ; 18 ; 1454.88 ; 75.81 ; 91.44
142 ; 4 ; 307.20 ; 88.64 ; 99.55
469 ; 33 ; 503.46 ; 70.35 ; 98.15
820 ; 164 ; 4066.69 ; 26.17 ; 32.85
92 ; 8 ; 49.30 ; 90.95 ; 99.96
292 ; 61 ; 935.00 ; 69.06 ; 96.25
71 ; 4 ; 371.65 ; 90.67 ; 99.44
1071 ; 118 ; 443.77 ; 35.99 ; 94.71
86 ; 9 ; 27.84 ; 91.13 ; 99.97
142 ; 10 ; 48.39 ; 89.21 ; 99.91
554 ; 103 ; 2337.51 ; 44.19 ; 77.48
507 ; 79 ; 1730.23 ; 52.39 ; 87.31
176 ; 38 ; 1523.49 ; 75.78 ; 90.83
619 ; 22 ; 269.02 ; 67.68 ; 98.22
837 ; 108 ; 2884.13 ; 33.06 ; 64.82
414 ; 22 ; 635.62 ; 73.94 ; 97.76
415 ; 88 ; 2107.49 ; 53.16 ; 82.00
321 ; 72 ; 2250.37 ; 60.01 ; 79.85
890 ; 143 ; 3770.50 ; 26.38 ; 41.46
551 ; 110 ; 3734.69 ; 40.91 ; 44.44
401 ; 29 ; 550.87 ; 73.72 ; 98.19
1135 ; 156 ; 4470.84 ; 19.89 ; 17.03
133 ; 17 ; 365.05 ; 86.87 ; 99.41
74 ; 14 ; 489.70 ; 88.50 ; 99.04
192 ; 26 ; 1846.46 ; 76.31 ; 86.57
307 ; 46 ; 1811.29 ; 68.08 ; 86.84
206 ; 33 ; 2261.07 ; 73.29 ; 79.92
380 ; 60 ; 206.67 ; 69.49 ; 99.26
243 ; 38 ; 980.74 ; 76.06 ; 96.02
1069 ; 144 ; 3227.13 ; 23.20 ; 54.90
388 ; 92 ; 698.26 ; 59.75 ; 97.48
605 ; 95 ; 2455.47 ; 43.29 ; 75.05
218 ; 4 ; 149.46 ; 86.90 ; 99.73
1011 ; 63 ; 2228.97 ; 39.39 ; 76.65
283 ; 9 ; 433.00 ; 82.42 ; 98.96
266 ; 14 ; 63.90 ; 84.33 ; 99.71
266 ; 20 ; 673.41 ; 80.17 ; 97.96
811 ; 175 ; 2755.04 ; 27.55 ; 67.75
133 ; 20 ; 1333.82 ; 81.30 ; 93.00
1110 ; 52 ; 2323.28 ; 39.96 ; 74.16
101 ; 5 ; 118.70 ; 90.66 ; 99.91
311 ; 36 ; 1401.03 ; 71.76 ; 91.97
641 ; 114 ; 2241.79 ; 39.66 ; 78.77
383 ; 64 ; 1462.72 ; 61.98 ; 91.08
66 ; 8 ; 457.89 ; 90.15 ; 99.17
81 ; 3 ; 104.26 ; 91.60 ; 99.93
255 ; 16 ; 67.19 ; 84.44 ; 99.73
505 ; 16 ; 61.80 ; 74.13 ; 98.99
393 ; 10 ; 189.15 ; 78.95 ; 99.26
513 ; 39 ; 952.04 ; 64.87 ; 95.44
248 ; 29 ; 870.80 ; 78.22 ; 96.80
431 ; 38 ; 176.25 ; 72.59 ; 99.15
336 ; 30 ; 1802.31 ; 70.26 ; 86.90
422 ; 5 ; 24.20 ; 79.27 ; 99.30
220 ; 4 ; 24.93 ; 87.55 ; 99.81
404 ; 99 ; 2866.10 ; 49.88 ; 67.33
210 ; 37 ; 715.94 ; 78.86 ; 97.83
643 ; 94 ; 1861.47 ; 43.83 ; 84.86
1106 ; 114 ; 454.95 ; 35.92 ; 94.38
209 ; 7 ; 426.00 ; 85.45 ; 99.12
574 ; 141 ; 1780.72 ; 40.37 ; 86.29
1247 ; 175 ; 1368.58 ; 23.35 ; 86.53
409 ; 25 ; 1369.18 ; 69.87 ; 92.04
1082 ; 63 ; 1351.78 ; 41.18 ; 88.31
198 ; 30 ; 1459.04 ; 76.88 ; 91.55
936 ; 23 ; 313.08 ; 58.17 ; 96.20
132 ; 11 ; 528.56 ; 86.88 ; 98.84
474 ; 37 ; 37.52 ; 71.75 ; 99.11
602 ; 6 ; 884.82 ; 67.32 ; 95.54
574 ; 107 ; 2302.45 ; 42.91 ; 78.02
266 ; 35 ; 276.88 ; 79.56 ; 99.42
579 ; 114 ; 1055.54 ; 46.55 ; 94.30
45 ; 4 ; 156.62 ; 93.96 ; 99.90
331 ; 75 ; 1044.46 ; 63.70 ; 95.30
631 ; 74 ; 1813.32 ; 48.41 ; 85.62
808 ; 169 ; 1849.10 ; 30.31 ; 84.03
342 ; 16 ; 882.11 ; 76.63 ; 96.51
1029 ; 96 ; 1884.45 ; 33.23 ; 82.01
92 ; 7 ; 553.62 ; 88.45 ; 98.77
348 ; 9 ; 163.21 ; 81.10 ; 99.42
293 ; 25 ; 394.73 ; 79.80 ; 99.06
60 ; 7 ; 132.63 ; 92.44 ; 99.92
989 ; 28 ; 1754.03 ; 49.10 ; 84.20
817 ; 183 ; 988.10 ; 33.18 ; 93.47
203 ; 32 ; 218.25 ; 82.70 ; 99.65
142 ; 3 ; 115.54 ; 89.72 ; 99.87
709 ; 102 ; 3031.59 ; 37.47 ; 62.20
60 ; 4 ; 161.76 ; 92.67 ; 99.88
319 ; 52 ; 1968.39 ; 65.62 ; 84.50
678 ; 105 ; 2831.41 ; 38.28 ; 66.94
189 ; 12 ; 422.53 ; 85.50 ; 99.16
1137 ; 122 ; 4015.44 ; 23.57 ; 32.10
173 ; 31 ; 1010.84 ; 79.71 ; 95.90
370 ; 31 ; 67.62 ; 77.17 ; 99.45
1031 ; 107 ; 3632.64 ; 27.85 ; 44.41
131 ; 19 ; 1260.08 ; 81.86 ; 93.75
308 ; 39 ; 782.73 ; 74.38 ; 97.24
357 ; 84 ; 2628.09 ; 55.12 ; 72.57
467 ; 91 ; 3773.67 ; 47.38 ; 43.65
588 ; 12 ; 586.98 ; 68.70 ; 97.31
218 ; 38 ; 1105.21 ; 76.31 ; 95.05
324 ; 94 ; 2294.02 ; 55.38 ; 79.06
553 ; 142 ; 3076.54 ; 37.89 ; 61.86
328 ; 36 ; 983.38 ; 73.10 ; 95.81
126 ; 6 ; 27.28 ; 90.32 ; 99.94
523 ; 100 ; 3269.39 ; 44.11 ; 57.26
142 ; 2 ; 71.00 ; 90.11 ; 99.90
886 ; 132 ; 2611.55 ; 29.32 ; 70.31
231 ; 12 ; 461.52 ; 83.88 ; 98.96
1185 ; 126 ; 3330.63 ; 23.10 ; 51.26
95 ; 10 ; 130.61 ; 90.13 ; 99.90
709 ; 101 ; 4174.52 ; 36.21 ; 30.12
476 ; 16 ; 3310.48 ; 63.31 ; 56.43
372 ; 3 ; 53.60 ; 81.48 ; 99.45
584 ; 83 ; 1546.42 ; 49.27 ; 89.33
95 ; 7 ; 252.63 ; 89.92 ; 99.72
597 ; 140 ; 928.20 ; 43.47 ; 95.18
195 ; 24 ; 883.78 ; 80.91 ; 96.81
465 ; 95 ; 1679.18 ; 51.19 ; 88.14
893 ; 129 ; 2980.71 ; 28.77 ; 62.22
169 ; 6 ; 30.97 ; 88.98 ; 99.88
100 ; 4 ; 22.51 ; 91.38 ; 99.96
107 ; 9 ; 518.90 ; 87.94 ; 98.91
213 ; 4 ; 42.04 ; 87.68 ; 99.82
817 ; 146 ; 2602.27 ; 29.70 ; 70.94
328 ; 10 ; 558.90 ; 79.80 ; 98.36
259 ; 24 ; 833.38 ; 78.90 ; 97.03
522 ; 3 ; 365.49 ; 73.58 ; 98.42
934 ; 96 ; 3857.94 ; 31.35 ; 38.59
59 ; 2 ; 54.11 ; 93.62 ; 99.98
1036 ; 71 ; 2245.49 ; 36.98 ; 76.16
562 ; 75 ; 3051.56 ; 47.72 ; 62.47
303 ; 37 ; 2493.04 ; 68.28 ; 75.43
554 ; 127 ; 1373.95 ; 44.25 ; 91.39
720 ; 143 ; 2992.19 ; 32.07 ; 63.03
761 ; 68 ; 1640.14 ; 46.12 ; 87.25
556 ; 49 ; 2108.46 ; 56.05 ; 81.47
329 ; 7 ; 1001.30 ; 77.74 ; 95.67
56 ; 9 ; 122.80 ; 92.60 ; 99.93
1067 ; 25 ; 1088.58 ; 51.07 ; 90.95
740 ; 110 ; 2742.43 ; 35.81 ; 68.52
743 ; 166 ; 1349.83 ; 34.39 ; 90.64
431 ; 35 ; 351.72 ; 72.37 ; 98.79
363 ; 87 ; 1435.00 ; 58.00 ; 91.44
389 ; 33 ; 482.62 ; 73.86 ; 98.50
229 ; 38 ; 1103.67 ; 75.95 ; 95.05
116 ; 6 ; 755.70 ; 86.76 ; 97.72
695 ; 22 ; 3069.22 ; 54.52 ; 61.42
566 ; 125 ; 3667.97 ; 38.42 ; 46.28
161 ; 30 ; 1202.74 ; 79.32 ; 94.26
486 ; 100 ; 457.16 ; 55.54 ; 98.23
593 ; 141 ; 889.71 ; 43.73 ; 95.47
294 ; 100 ; 1112.81 ; 60.09 ; 94.80
334 ; 89 ; 2308.56 ; 55.85 ; 78.77
557 ; 122 ; 4259.58 ; 38.53 ; 28.06
341 ; 36 ; 80.31 ; 77.33 ; 99.52
126 ; 19 ; 573.55 ; 85.64 ; 98.66
433 ; 11 ; 181.59 ; 77.16 ; 99.14
220 ; 5 ; 43.56 ; 87.31 ; 99.80
366 ; 86 ; 974.67 ; 60.31 ; 95.75
242 ; 45 ; 2155.97 ; 69.74 ; 81.66
364 ; 129 ; 1934.71 ; 49.69 ; 84.84
597 ; 80 ; 2722.52 ; 45.94 ; 69.71
469 ; 29 ; 790.89 ; 69.52 ; 96.70
632 ; 66 ; 1605.24 ; 50.94 ; 88.39
616 ; 136 ; 2872.80 ; 36.45 ; 66.30
235 ; 27 ; 1241.96 ; 77.17 ; 93.77
566 ; 38 ; 1515.39 ; 60.29 ; 89.80
292 ; 13 ; 270.77 ; 82.39 ; 99.38
187 ; 14 ; 1187.25 ; 81.24 ; 94.37
163 ; 5 ; 99.05 ; 88.91 ; 99.86
497 ; 111 ; 3354.86 ; 43.38 ; 55.15
240 ; 16 ; 153.58 ; 84.52 ; 99.68
471 ; 30 ; 1609.42 ; 65.28 ; 89.04
263 ; 12 ; 113.73 ; 84.42 ; 99.68
491 ; 10 ; 665.15 ; 72.34 ; 97.34
346 ; 47 ; 1640.34 ; 66.84 ; 89.04
231 ; 39 ; 29.93 ; 81.37 ; 99.78
252 ; 50 ; 814.73 ; 73.87 ; 97.16
68 ; 13 ; 132.28 ; 90.96 ; 99.91
150 ; 8 ; 24.72 ; 89.37 ; 99.91
308 ; 17 ; 1207.34 ; 76.21 ; 93.95
564 ; 143 ; 2664.56 ; 38.12 ; 71.02
348 ; 27 ; 47.38 ; 78.95 ; 99.52
370 ; 42 ; 1034.27 ; 69.83 ; 95.29
298 ; 8 ; 1261.43 ; 77.59 ; 93.46
1250 ; 116 ; 1296.55 ; 29.02 ; 87.31
261 ; 21 ; 383.96 ; 81.76 ; 99.16
472 ; 98 ; 3181.05 ; 46.68 ; 59.68
345 ; 27 ; 2112.33 ; 69.43 ; 82.15
463 ; 28 ; 774.08 ; 70.05 ; 96.83
1178 ; 122 ; 2543.82 ; 25.11 ; 69.33
306 ; 22 ; 589.42 ; 78.73 ; 98.28
149 ; 46 ; 829.90 ; 78.27 ; 97.22
159 ; 6 ; 140.17 ; 88.68 ; 99.82
90 ; 7 ; 87.82 ; 90.91 ; 99.94
548 ; 86 ; 1892.63 ; 48.70 ; 84.85
561 ; 77 ; 1739.19 ; 50.63 ; 86.97
443 ; 107 ; 2599.89 ; 47.51 ; 72.86
461 ; 73 ; 2704.05 ; 52.85 ; 70.67
115 ; 12 ; 345.51 ; 88.23 ; 99.48
276 ; 24 ; 781.81 ; 78.53 ; 97.32
98 ; 11 ; 215.38 ; 89.49 ; 99.78
253 ; 29 ; 494.33 ; 80.08 ; 98.80
661 ; 173 ; 1502.12 ; 35.92 ; 89.39
387 ; 20 ; 904.88 ; 73.95 ; 96.23
245 ; 33 ; 1739.35 ; 73.56 ; 87.98
377 ; 25 ; 649.40 ; 74.93 ; 97.80
710 ; 11 ; 271.38 ; 66.27 ; 97.75
267 ; 39 ; 1227.74 ; 73.68 ; 93.84
165 ; 21 ; 27.52 ; 86.98 ; 99.89
235 ; 6 ; 259.37 ; 85.53 ; 99.52
965 ; 128 ; 3462.41 ; 26.54 ; 49.61
696 ; 108 ; 4030.57 ; 35.69 ; 34.79
698 ; 12 ; 133.97 ; 67.19 ; 98.03
139 ; 3 ; 93.81 ; 89.93 ; 99.89
891 ; 31 ; 385.72 ; 57.42 ; 96.32
1202 ; 156 ; 2612.77 ; 21.25 ; 67.69
814 ; 49 ; 1262.69 ; 50.82 ; 91.20
185 ; 20 ; 591.14 ; 83.51 ; 98.50
1073 ; 62 ; 1783.47 ; 39.80 ; 83.11
373 ; 5 ; 356.61 ; 79.62 ; 98.96
308 ; 42 ; 658.77 ; 74.44 ; 97.93
326 ; 66 ; 740.62 ; 67.52 ; 97.43
350 ; 21 ; 83.53 ; 79.69 ; 99.49
422 ; 54 ; 915.27 ; 65.39 ; 96.03
280 ; 36 ; 281.85 ; 78.79 ; 99.38
356 ; 78 ; 1091.02 ; 61.79 ; 94.85
407 ; 24 ; 1735.93 ; 68.61 ; 87.61
201 ; 14 ; 371.12 ; 85.11 ; 99.31
220 ; 5 ; 43.56 ; 87.31 ; 99.80
937 ; 54 ; 1714.52 ; 44.69 ; 85.12
612 ; 114 ; 2881.56 ; 39.24 ; 66.15
237 ; 66 ; 530.32 ; 72.19 ; 98.67
514 ; 131 ; 2631.80 ; 41.33 ; 71.92
175 ; 6 ; 48.06 ; 88.68 ; 99.87
302 ; 61 ; 426.29 ; 71.42 ; 98.92
677 ; 50 ; 999.52 ; 56.02 ; 94.31
596 ; 66 ; 2835.61 ; 48.78 ; 67.28
502 ; 52 ; 1221.40 ; 60.94 ; 93.20
60 ; 4 ; 11.09 ; 93.53 ; 99.99
876 ; 200 ; 1275.77 ; 29.42 ; 90.51
337 ; 21 ; 285.23 ; 79.21 ; 99.24
276 ; 5 ; 36.10 ; 85.26 ; 99.70
394 ; 63 ; 2361.25 ; 58.74 ; 77.66
1054 ; 87 ; 2116.62 ; 33.66 ; 78.19
98 ; 8 ; 220.74 ; 89.85 ; 99.77
153 ; 10 ; 327.29 ; 87.45 ; 99.49
547 ; 95 ; 1177.94 ; 50.06 ; 93.39
839 ; 124 ; 3347.86 ; 30.13 ; 53.54
135 ; 31 ; 1408.08 ; 78.95 ; 92.20
363 ; 14 ; 156.09 ; 79.86 ; 99.39
448 ; 66 ; 1967.98 ; 56.85 ; 84.11
1004 ; 67 ; 2219.83 ; 38.60 ; 76.86
1010 ; 62 ; 2211.53 ; 39.69 ; 76.96
243 ; 48 ; 1664.65 ; 70.63 ; 88.97
795 ; 169 ; 2360.96 ; 29.18 ; 75.71
792 ; 199 ; 2603.73 ; 27.25 ; 70.99
611 ; 9 ; 852.10 ; 66.78 ; 95.72
191 ; 14 ; 575.19 ; 84.36 ; 98.57
629 ; 194 ; 1898.55 ; 34.54 ; 84.27
192 ; 40 ; 2350.26 ; 72.10 ; 78.33
923 ; 139 ; 2979.19 ; 27.06 ; 62.03
67 ; 4 ; 23.15 ; 92.83 ; 99.98
580 ; 100 ; 1139.18 ; 48.17 ; 93.60
327 ; 43 ; 535.21 ; 74.08 ; 98.46
556 ; 72 ; 2296.84 ; 50.13 ; 78.23
1082 ; 124 ; 2419.13 ; 26.63 ; 72.58
509 ; 55 ; 3123.48 ; 54.32 ; 60.98
120 ; 17 ; 210.86 ; 88.02 ; 99.77
841 ; 48 ; 794.96 ; 52.74 ; 94.77
485 ; 107 ; 875.45 ; 52.19 ; 96.05
633 ; 35 ; 1172.99 ; 60.04 ; 93.07
1091 ; 132 ; 2820.48 ; 24.67 ; 64.31
554 ; 91 ; 2156.38 ; 46.73 ; 80.66
424 ; 39 ; 849.59 ; 69.14 ; 96.48
682 ; 98 ; 1043.30 ; 45.37 ; 93.91
919 ; 88 ; 794.78 ; 41.95 ; 94.22
110 ; 3 ; 8.64 ; 91.29 ; 99.95
526 ; 133 ; 2567.72 ; 40.78 ; 73.17
488 ; 112 ; 2928.33 ; 44.27 ; 65.62
478 ; 59 ; 1150.49 ; 60.61 ; 93.94
270 ; 60 ; 1693.47 ; 66.63 ; 88.53
699 ; 49 ; 3589.59 ; 48.17 ; 47.90
162 ; 36 ; 405.85 ; 82.37 ; 99.25
778 ; 148 ; 1178.66 ; 35.50 ; 92.15
330 ; 41 ; 1920.68 ; 67.90 ; 85.20
452 ; 142 ; 937.71 ; 49.01 ; 95.70
431 ; 86 ; 2589.93 ; 51.65 ; 73.12
286 ; 21 ; 44.96 ; 82.55 ; 99.67
76 ; 5 ; 49.32 ; 91.81 ; 99.97
231 ; 24 ; 614.05 ; 81.17 ; 98.32
641 ; 84 ; 2657.42 ; 43.68 ; 70.86
659 ; 142 ; 763.29 ; 41.96 ; 95.96
140 ; 4 ; 116.08 ; 89.64 ; 99.87
166 ; 20 ; 1607.93 ; 79.10 ; 89.82
64 ; 2 ; 90.74 ; 92.97 ; 99.95
458 ; 102 ; 2723.14 ; 47.39 ; 70.26
879 ; 74 ; 2656.55 ; 38.75 ; 69.48
1017 ; 70 ; 2224.40 ; 37.62 ; 76.68
880 ; 118 ; 2499.35 ; 31.43 ; 72.60
581 ; 12 ; 310.13 ; 70.43 ; 98.31
192 ; 17 ; 507.36 ; 84.23 ; 98.85
77 ; 3 ; 15.83 ; 92.23 ; 99.98
82 ; 13 ; 621.52 ; 87.61 ; 98.47
766 ; 85 ; 3780.72 ; 37.76 ; 42.01
104 ; 8 ; 242.14 ; 89.57 ; 99.73
606 ; 90 ; 225.68 ; 53.77 ; 98.34
1012 ; 30 ; 2003.61 ; 47.44 ; 80.37
360 ; 32 ; 967.20 ; 72.63 ; 95.85
324 ; 43 ; 1874.25 ; 67.85 ; 85.90
159 ; 25 ; 1833.46 ; 77.66 ; 86.80
44 ; 14 ; 412.31 ; 91.47 ; 99.33
974 ; 150 ; 1124.94 ; 30.83 ; 91.29
545 ; 116 ; 1941.25 ; 43.80 ; 84.11
719 ; 124 ; 3252.55 ; 33.74 ; 56.72
598 ; 143 ; 2532.61 ; 37.11 ; 73.54
497 ; 18 ; 1787.10 ; 65.63 ; 86.60
393 ; 95 ; 2668.26 ; 51.43 ; 71.63
226 ; 20 ; 1918.25 ; 75.94 ; 85.47
795 ; 82 ; 3822.32 ; 37.54 ; 40.60
254 ; 58 ; 57.04 ; 75.89 ; 99.72
451 ; 86 ; 1976.73 ; 52.41 ; 83.96
62 ; 5 ; 229.98 ; 92.04 ; 99.78
78 ; 11 ; 918.58 ; 86.36 ; 96.69
271 ; 28 ; 636.19 ; 78.79 ; 98.13
656 ; 8 ; 315.55 ; 68.22 ; 97.94
602 ; 104 ; 1534.62 ; 44.85 ; 89.37
869 ; 127 ; 1074.46 ; 35.73 ; 92.50
424 ; 72 ; 2696.32 ; 54.64 ; 70.96
572 ; 117 ; 4167.80 ; 38.67 ; 31.01
156 ; 42 ; 585.99 ; 80.35 ; 98.56
616 ; 68 ; 2071.32 ; 49.41 ; 81.79
532 ; 141 ; 2677.59 ; 39.52 ; 70.89
377 ; 33 ; 3379.96 ; 64.42 ; 54.94
123 ; 11 ; 47.53 ; 89.65 ; 99.93
230 ; 18 ; 536.45 ; 82.63 ; 98.67
806 ; 107 ; 3250.82 ; 33.49 ; 56.26
971 ; 65 ; 370.94 ; 47.99 ; 95.77
81 ; 9 ; 497.20 ; 88.83 ; 99.01
1089 ; 190 ; 3663.76 ; 19.39 ; 42.95
320 ; 31 ; 3024.66 ; 67.73 ; 63.96
679 ; 119 ; 2140.51 ; 37.93 ; 80.30
176 ; 2 ; 116.48 ; 88.76 ; 99.83
129 ; 27 ; 408.39 ; 85.06 ; 99.28
76 ; 13 ; 224.25 ; 89.85 ; 99.78
102 ; 30 ; 376.03 ; 85.48 ; 99.41
