operateur;latitude;longitude;CP;ville;url;dom;req;size;EcoIndex;GreenHouseGaz;water;PageChargeeMoins5s;temps_en_secondes;Conso_totale_(MWh);Conso_moyenne_(MWh);Photovoltaique
BOUYGUES TELECOM;43.31429;-0.4179;64348;PAU;https://www.allocine.fr/;1597;30;2005766;40.31;2.19;3.2;1.0;2.92;31518.16438588797;4.609940673670905;372.285995294965
SFR;42.68736;2.88414;66136;PERPIGNAN;https://www.index-education.com/fr/;356;54;4810382;59.36;1.81;2.7;1.0;2.61;249164.689899692;3.4576912601780707;2704.200723216868
SFR;47.19781;-1.59189;44109;NANTES;https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Accueil_principal;1762;369;343314;21.00;2.58;3.8;1.0;2.57;529964.8367991232;2.8722668935679887;608.334
FREE;49.17101;5.36444;55505;VERDUN;https://clients.cdiscount.com/frequentlyaskedquestions.html;32;2;7342;95.77;1.08;1.6;1.0;2.94;6500.925641574682;5.234239647000549;53.343
BOUYGUES TELECOM;50.51142;2.78583;62863;BÉTHUNE;https://m.youtube.com/;417;31;22478864;60.50;1.79;2.6;1.0;2.02;8815.227171588744;5.540683325951441;69.71927464290927
FREE;43.83883;5.0487;84131;APT;https://www.instagram.com/accounts/login/;173;94;40004900;56.26;1.87;2.8;1.0;3.39;8231.644684222123;8.348524020509252;928.085148635968
FREE;43.48388;-1.14016;64123;BAYONNE;https://www.google.com/;389;22;233831;77.12;1.46;2.1;1.0;10;4358.639402389234;6.271423600560049;529.6349981384669
BOUYGUES TELECOM;43.86872;4.08256;30210;LE VIGAN;https://www.impots.gouv.fr/accueil;860;40;155192;57.49;1.85;2.7;0.0;10.01;10662.247028686272;5.884242289561961;221.65388233822648
ORANGE;48.27863;-1.60042;35296;RENNES;https://www.lequipe.fr/;1588;56;5124025;30.16;2.40;3.6;1.0;2.4;3590.19814225954;6.3207713772175;89.143
ORANGE;49.02518;1.12427;27229;ÉVREUX;https://www.bing.com/;242;6;116975;85.99;1.28;1.9;1.0;1.98;84583.29054655631;3.3626178956252013;173.72483930029068
SFR;48.34183;-1.27729;35157;FOUGÈRES-VITRÉ;https://recherche.lefigaro.fr/recherche/;420;129;3164057;44.65;2.11;3.1;1.0;7.96;2015.5460931685675;7.198378904173455;35.14265302451678
SFR;43.61512;7.1208;06161;GRASSE;https://fr.m.wikipedia.org/wiki/Wikip%C3%A9dia:Accueil_principal;1762;369;343314;21.00;2.58;3.8;1.0;2.04;59795.18015822904;4.721293340562893;328.79975809160686
SFR;44.0488;1.46297;82161;MONTAUBAN;https://www.index-education.com/fr/;356;54;4810382;59.36;1.81;2.7;1.0;7.96;13171.254699518227;7.470932898195251;240.76956550136
FREE;43.54378;6.96437;06069;GRASSE;https://www.marmiton.org/recettes;1331;104;2044252;27.07;2.46;3.6;0.0;10.01;141724.98138157022;5.337839681427074;888.0207016935751
ORANGE;43.55018;6.97077;06069;GRASSE;https://www.marmiton.org/recettes;1331;104;2044251;27.07;2.46;3.6;1.0;3.51;141724.98138157022;5.337839681427074;888.0207016935751
FREE;45.35622;-1.05979;33540;LESPARRE-MÉDOC;https://m.facebook.com/;202;52;891940;74.86;1.50;2.2;1.0;4.16;14412.547134137683;4.455192313489238;442.5683100013044
SFR;43.61623;3.88095;34172;MONTPELLIER;https://www.adobe.com/fr/;748;237;17011646;23.59;2.53;3.7;1.0;3.3;530034.9905797594;3.081294235917144;1893.945495459772
SFR;44.94693;-0.60635;33312;BORDEAUX;https://www.spotify.com/fr/;82;37;8013023;71.73;1.57;2.3;1.0;2.98;26024.444358772424;5.2215979853074685;276.33673025749664
SFR;43.28386;5.54344;13005;MARSEILLE;https://login.yahoo.com/;346;16;870058;76.65;1.47;2.2;1.0;2.48;107686.73872807248;4.732858907751615;951.4072842168632
BOUYGUES TELECOM;47.68228;-2.50284;56053;VANNES;https://www.spotify.com/fr/;82;37;8013023;71.73;1.57;2.3;1.0;3.44;17250.947993369235;5.8083999977674186;137.6965
ORANGE;44.40481;0.70224;47323;VILLENEUVE-SUR-LOT;https://www.blogger.com/about/?bpli=1;290;43;7279276;63.70;1.73;2.5;1.0;4.01;62809.43872305586;4.639491706533894;1516.172933214723
SFR;49.17796;6.88103;57222;FORBACH-BOULAY-MOSELLE;https://www.marmiton.org/recettes;1331;104;2044251;27.07;2.46;3.6;1.0;2.71;5000.714940199234;7.174626886942947;108.92
SFR;43.11216;5.93521;83137;TOULON;https://www.instagram.com/accounts/login/;173;94;40062267;56.26;1.87;2.8;1.0;4.2;334018.5672155136;3.464635374818621;1504.4358281609411
ORANGE;50.65095;2.97925;59128;LILLE;https://recherche.lefigaro.fr/recherche/;420;129;3164057;44.65;2.11;3.1;1.0;2.45;4948.01701214742;3.6116912497426426;29.711
FREE;48.81484;2.31088;92049;ANTONY;https://www.adobe.com/fr/;748;237;17011650;23.59;2.53;3.7;1.0;3.52;88215.33066422504;3.292599681405832;1.037
SFR;50.67654;2.84108;59202;LILLE;https://m.facebook.com/;202;52;889644;74.88;1.50;2.2;1.0;2.45;10106.122850151496;4.35984592327502;4.966999999999999
FREE;48.01811;6.66466;88409;ÉPINAL;https://meteofrance.com/;1073;65;1889441;38.86;2.22;3.3;1.0;3.8;5929.556349493428;5.400324544165235;57.03474414034308
BOUYGUES TELECOM;45.6063;2.68757;63397;ISSOIRE;https://signup.live.com/?lic=1;518;14;654831;70.87;1.58;2.3;1.0;2.3;3714.894540912522;4.894459210688436;102.189
BOUYGUES TELECOM;44.51669;2.82484;12027;RODEZ;https://www.google.com/;389;22;233954;77.12;1.46;2.1;1.0;3.05;784.9227913741511;6.486965217968191;505.7526820334424
ORANGE;44.29071;2.55637;12133;RODEZ;https://www.index-education.com/fr/;356;54;4810382;59.36;1.81;2.7;1.0;2.99;15725.80656791371;5.025825045673924;2825.746032213233
FREE;47.14944;-1.52601;44198;NANTES;https://m.youtube.com/;417;31;22473346;60.50;1.79;2.6;1.0;1.95;20563.24089801207;5.098745573521465;0.0
SFR;44.83891;-0.53071;33065;BORDEAUX;https://clients.cdiscount.com/frequentlyaskedquestions.html;32;2;7342;95.77;1.08;1.6;1.0;3.5;12483.069988519574;7.519921679831069;101.34177335520798
SFR;45.3461;2.43765;15265;MAURIAC;https://www.adobe.com/fr/;748;237;17011522;23.59;2.53;3.7;1.0;3.81;4672.764138489759;4.532263955858157;62.83019180510364
ORANGE;48.06579;-2.87322;56215;PONTIVY;https://recherche.lefigaro.fr/recherche/;420;129;3164057;44.65;2.11;3.1;1.0;2.92;3274.1867729085075;6.248448039901732;186.832
SFR;45.48526;5.99342;73171;CHAMBÉRY;https://www.marmiton.org/recettes;1331;104;2046023;27.06;2.46;3.6;0.0;10.01;5597.746083251533;2.9003865716329185;134.45922038575307
SFR;45.71692;5.92168;73182;CHAMBÉRY;https://login.yahoo.com/;346;16;870058;76.65;1.47;2.2;1.0;2.27;7307.673685895345;6.722790879388542;104.5841165209228
SFR;45.68542;-1.16502;17225;ROCHEFORT;https://www.instagram.com/accounts/login/;173;94;40031265;56.26;1.87;2.8;1.0;3.14;18093.75762738715;3.873636828813348;115.0066056252594
SFR;45.68487;-1.16457;17225;ROCHEFORT;https://www.blogger.com/about/?bpli=1;290;43;7279276;63.70;1.73;2.5;1.0;6.03;18093.75762738715;3.873636828813348;115.0066056252594
