dom ; request ; size ; historical ; lsh_knn
2890.0 ; 63.0 ; 3091.6367 ; 26.32 ; 51.40
639.0 ; 272.0 ; 994.13477 ; 36.14 ; 52.44
2536.0 ; 242.0 ; 22037.352 ; 5.80 ; 70.45
947.0 ; 17.0 ; 646.1201 ; 57.14 ; 56.50
1954.0 ; 373.0 ; 3016.045 ; 9.99 ; 55.07
113.0 ; 3.0 ; 127.44629 ; 90.51 ; 52.49
813.0 ; 27.0 ; 495.58105 ; 59.54 ; 58.37
96.0 ; 13.0 ; 56.20996 ; 90.15 ; 56.68
1524.0 ; 324.0 ; 4440.8574 ; 10.98 ; 64.84
1064.0 ; 35.0 ; 944.56934 ; 50.00 ; 51.90
2366.0 ; 146.0 ; 5636.036 ; 11.27 ; 63.63
5931.0 ; 403.0 ; 444.3789 ; 17.61 ; 71.40
157.0 ; 65.0 ; 2520.8887 ; 66.97 ; 72.92
63.0 ; 15.0 ; 5743.0664 ; 77.63 ; 72.85
1076.0 ; 206.0 ; 1980.6709 ; 22.15 ; 58.12
671.0 ; 148.0 ; 9643.539 ; 30.03 ; 72.99
1849.0 ; 327.0 ; 2348.6748 ; 11.77 ; 52.13
96.0 ; 13.0 ; 56.166992 ; 90.15 ; 56.52
187.0 ; 111.0 ; 4871.593 ; 54.41 ; 73.35
1213.0 ; 357.0 ; 3542.8975 ; 15.18 ; 63.29
315.0 ; 11.0 ; 853.93945 ; 78.60 ; 64.73
2230.0 ; 68.0 ; 575.2881 ; 35.04 ; 67.70
2885.0 ; 63.0 ; 3086.4316 ; 26.32 ; 51.40
3112.0 ; 73.0 ; 3342.1396 ; 23.63 ; 52.08
226.0 ; 24.0 ; 438.40234 ; 82.29 ; 60.41
3133.0 ; 73.0 ; 3310.6494 ; 23.68 ; 52.01
33.0 ; 7.0 ; 1259.8965 ; 88.47 ; 72.63
1189.0 ; 271.0 ; 6194.715 ; 14.05 ; 69.36
96.0 ; 13.0 ; 56.16211 ; 90.15 ; 56.78
780.0 ; 14.0 ; 7126.338 ; 50.50 ; 69.97
3015.0 ; 777.0 ; 6885.425 ; 5.13 ; 62.15
2239.0 ; 314.0 ; 1971.5908 ; 11.41 ; 49.31
17.0 ; 4.0 ; 840.9619 ; 91.87 ; 71.60
1041.0 ; 102.0 ; 1566.5059 ; 33.20 ; 56.65
679.0 ; 157.0 ; 466.1338 ; 41.69 ; 52.78
69.0 ; 23.0 ; 3730.5195 ; 77.17 ; 71.60
2244.0 ; 23.0 ; 1590.4619 ; 39.78 ; 54.66
708.0 ; 11.0 ; 194.0332 ; 66.70 ; 68.06
260.0 ; 48.0 ; 2990.082 ; 66.51 ; 72.75
3108.0 ; 71.0 ; 3300.9785 ; 24.11 ; 50.68
940.0 ; 12.0 ; 342.3125 ; 59.65 ; 64.84
187.0 ; 112.0 ; 4939.2393 ; 54.22 ; 73.35
1206.0 ; 90.0 ; 1819.8545 ; 31.62 ; 56.94
1481.0 ; 252.0 ; 9445.98 ; 10.47 ; 70.47
145.0 ; 31.0 ; 235.29395 ; 84.71 ; 56.09
409.0 ; 58.0 ; 2203.3066 ; 59.71 ; 69.70
159.0 ; 40.0 ; 711.5166 ; 79.98 ; 68.24
537.0 ; 12.0 ; 29.145508 ; 73.56 ; 73.38
3558.0 ; 38.0 ; 2096.2568 ; 34.31 ; 57.94
20.0 ; 1.0 ; 23.271484 ; 97.14 ; 52.48
92.0 ; 12.0 ; 55.62207 ; 90.40 ; 56.71
96.0 ; 13.0 ; 56.164062 ; 90.15 ; 56.52
3043.0 ; 66.0 ; 3157.7705 ; 25.50 ; 50.17
3347.0 ; 47.0 ; 627.29297 ; 38.83 ; 69.82
651.0 ; 184.0 ; 7613.8193 ; 28.61 ; 72.16
16.0 ; 3.0 ; 317.19434 ; 94.87 ; 72.08
1518.0 ; 322.0 ; 3908.0928 ; 11.49 ; 63.34
120.0 ; 7.0 ; 95.55762 ; 89.98 ; 53.53
63.0 ; 4.0 ; 268.8125 ; 91.89 ; 69.20
1248.0 ; 358.0 ; 5628.925 ; 13.10 ; 67.59
1462.0 ; 86.0 ; 2764.3564 ; 26.86 ; 61.02
1026.0 ; 2.0 ; 423.77832 ; 58.78 ; 61.83
728.0 ; 235.0 ; 3839.6895 ; 26.32 ; 68.76
1518.0 ; 323.0 ; 4181.4453 ; 11.20 ; 63.63
1463.0 ; 86.0 ; 2690.838 ; 27.00 ; 60.17
1435.0 ; 39.0 ; 1020.6377 ; 43.80 ; 56.44
4020.0 ; 212.0 ; 4504.1777 ; 7.94 ; 51.60
17.0 ; 4.0 ; 840.9619 ; 91.87 ; 71.60
31.0 ; 1.0 ; 5.5898438 ; 96.66 ; 69.35
1518.0 ; 323.0 ; 4209.9277 ; 11.18 ; 64.31
837.0 ; 119.0 ; 4084.2598 ; 29.99 ; 69.54
1173.0 ; 223.0 ; 117111.65 ; 14.34 ; 72.15
1278.0 ; 22.0 ; 347.84277 ; 52.40 ; 67.57
113.0 ; 13.0 ; 40.932617 ; 89.73 ; 62.85
834.0 ; 109.0 ; 2517.29 ; 33.75 ; 65.96
3062.0 ; 301.0 ; 254031.45 ; 4.16 ; 72.85
430.0 ; 81.0 ; 2178.3262 ; 53.73 ; 69.34
1383.0 ; 397.0 ; 2047.8838 ; 16.10 ; 53.31
955.0 ; 97.0 ; 59.58203 ; 43.38 ; 71.22
2640.0 ; 492.0 ; 758.99414 ; 15.88 ; 62.81
2680.0 ; 186.0 ; 4972.7275 ; 8.69 ; 60.29
1081.0 ; 214.0 ; 4194.0713 ; 18.03 ; 67.29
3203.0 ; 21.0 ; 799.30273 ; 43.08 ; 66.31
570.0 ; 70.0 ; 2095.5508 ; 50.56 ; 67.30
2490.0 ; 777.0 ; 2838.9316 ; 8.16 ; 45.76
1583.0 ; 318.0 ; 1558.3926 ; 16.12 ; 45.42
2517.0 ; 166.0 ; 639.9385 ; 20.25 ; 67.02
5684.0 ; 1332.0 ; 3318.546 ; 7.14 ; 54.34
433.0 ; 100.0 ; 4332.3066 ; 46.70 ; 72.13
399.0 ; 84.0 ; 2168.9287 ; 54.45 ; 68.98
1055.0 ; 71.0 ; 2450.5908 ; 36.08 ; 64.09
1233.0 ; 65.0 ; 2849.8936 ; 33.79 ; 63.59
1520.0 ; 323.0 ; 4206.6465 ; 11.17 ; 63.90
1048.0 ; 4.0 ; 501.43555 ; 57.68 ; 60.13
581.0 ; 28.0 ; 282.37207 ; 67.96 ; 60.97
96.0 ; 13.0 ; 56.20215 ; 90.15 ; 56.68
1371.0 ; 42.0 ; 790.05176 ; 45.12 ; 59.60
482.0 ; 10.0 ; 613.93945 ; 73.00 ; 54.83
1137.0 ; 230.0 ; 723.85156 ; 26.34 ; 53.65
186.0 ; 91.0 ; 36143.65 ; 56.39 ; 72.15
62.0 ; 1.0 ; 24.40918 ; 94.36 ; 65.19
2832.0 ; 493.0 ; 2564.0693 ; 8.86 ; 48.22
1102.0 ; 35.0 ; 1241.251 ; 47.84 ; 51.96
920.0 ; 232.0 ; 1625.3623 ; 26.02 ; 58.27
2408.0 ; 268.0 ; 6297.5645 ; 6.10 ; 64.39
3169.0 ; 604.0 ; 1117.1543 ; 13.92 ; 61.42
132.0 ; 70.0 ; 14969.449 ; 62.44 ; 72.15
175.0 ; 15.0 ; 875.6572 ; 83.13 ; 69.66
570.0 ; 70.0 ; 2095.5508 ; 50.56 ; 67.30
55.0 ; 68.0 ; 2033.4697 ; 71.77 ; 73.58
1052.0 ; 199.0 ; 3129.213 ; 20.35 ; 65.02
524.0 ; 30.0 ; 733.64844 ; 67.38 ; 56.08
3402.0 ; 17.0 ; 1004.41797 ; 42.65 ; 65.15
96.0 ; 13.0 ; 56.166992 ; 90.15 ; 56.52
670.0 ; 110.0 ; 104.6875 ; 48.85 ; 66.77
512.0 ; 37.0 ; 715.07227 ; 66.61 ; 55.62
470.0 ; 8.0 ; 261.13086 ; 75.60 ; 60.50
