operateur,latitude,longitude,CP,ville,url,dom,size,requests,eco_index,GreenHouseGaz,water,PageChargeeMoins10s,temps_en_secondes,Conso totale (MWh),Conso moyenne (MWh),Photovoltaique,Eolien,Hydraulique,Bio energy,Cogeneration,Autres
SFR , 43.60207 , 5.00691 ,13063, ISTRES , https://www.allocine.fr/ ,1593,29,1921376, 40.78 , 2.18 , 3.28 , 1.0 , 3.11 , 55072.91660263097 , 4.688253733091936 , 1005.7867985025972 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
SFR , 43.36571 , 3.20947 ,34032, BÉZIERS , https://www.impots.gouv.fr/accueil ,787,39,134902, 59.76 , 1.80 , 2.71 , 1.0 , 2.91 , 190982.4827292424 , 4.043497686510043 , 1588.7940616676683 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
FREE , 42.99418 , 1.28016 ,9118, SAINT-GIRONS , https://www.google.com/ ,370,22,199263, 78.09 , 1.44 , 2.16 , 1.0 , 3.17 , 472.7559217921701 , 4.221035016001519 , 0.0, 0.0 , 0.0 , 0.0 , 0.0 , 0.0
FREE , 47.38831 , -0.96613 ,44213, CHÂTEAUBRIANT-ANCENIS , https://www.whatsapp.com/?l=fr ,1335,146,2995507, 19.74 , 2.61 , 3.91 , 0.0 , 10.01 , 23521.47962110578 , 6.720422748887366 , 2160.408067237638 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
SFR , 43.62654 , 7.13232 ,6161, GRASSE , https://www.leroymerlin.fr/ ,939,22,377963, 57.98 , 1.84 , 2.76 , 1.0 , 2.17 , 59795.18015822904 , 4.721293340562893 , 328.79975809160686 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
ORANGE , 43.32458 , -0.43745 ,64511, PAU , https://www.service-public.fr/ ,524,123,1124801, 47.27 , 2.05 , 3.08 , 1.0 , 2.26 , 9263.955399473649 , 6.255202835566271 , 115.482 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
FREE , 43.362 , -0.38645 ,64399, PAU , https://www.allocine.fr/ ,1593,29,1921588, 40.78 , 2.18 , 3.28 , 1.0 , 3.08 , 6715.155244917684 , 6.26413735533366 , 82.69476938516529 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
BOUYGUES TELECOM , 43.3423 , 3.21706 ,34032, BÉZIERS , https://www.marmiton.org/recettes ,1331,104,2360785, 26.19 , 2.48 , 3.71 , 1.0 , 4.89 , 190982.4827292424 , 4.043497686510043 , 1588.7940616676683 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
ORANGE , 48.62811 , 2.59029 ,77384, MELUN , https://signup.live.com/?lic=1 ,518,13,641898, 71.07 , 1.58 , 2.37 , 1.0 , 2.8 , 3945.580100973516 , 6.642390742379656 , 76.35523594771307 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
FREE , 48.56638 , 2.48552 ,91037, ARRONDISSEMENT D'ÉVRY , https://signup.live.com/?lic=1 ,518,13,641836, 71.07 , 1.58 , 2.37 , 1.0 , 2.2 , 1136.503927374933 , 8.7423379028841 , 0.0, 0.0 , 0.0 , 0.0 , 0.0 , 0.0
SFR , 43.30317 , -0.31896 ,64329, PAU , https://www.instagram.com/accounts/login/ ,178,95,29043044, 55.95 , 1.88 , 2.82 , 1.0 , 2.87 , 3839.825636503998 , 7.032647685904758 , 44.272950441554826 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
FREE , 48.34435 , 7.01785 ,88362, SAINT-DIÉ-DES-VOSGES , https://www.marmiton.org/recettes ,1331,104,2360785, 26.19 , 2.48 , 3.71 , 1.0 , 4.43 , 579.0675894371693 , 6.733344063222899 , 0.0, 0.0 , 0.0 , 0.0 , 0.0 , 0.0
